,c_qu,l_qu,c_ar,l_ar,prop_30-44,prop_45-59,prop_60-74,prop_75+,nombre_0-1,nombre_15-,nombre_30-,nombre_45-,nombre_60-,nombre_75+,pop,densite,nombretran,field_1,numquartier,ref,nb_logmt_total,nombre_de_commerce,id_quartier,nombreent,CA 1
59,25,Saint-Thomas-d'Aquin,7,7ème Ardt,"17,3","18,2","17,3","11,5",6 235,12 118,8 863,9 374,8 870,5 907,6 23512 1188 8639 3748 8705 907,13936,1,24,25,30.190624999999994,168,15,25,400,4298275.4225
60,61,Auteuil,16,16ème Ardt,"17,1","19,7","16,3","11,5",24 303,34 645,28 427,32 763,27 135,19 089,24 30334 64528 42732 76327 13519 089,9714,1,60,61,25.431250000000006,3784,30,61,892,3719390.9058295963
61,62,Muette,16,16ème Ardt,"17,1","19,7","16,3","11,5",24 303,34 645,28 427,32 763,27 135,19 089,24 30334 64528 42732 76327 13519 089,9714,1,61,62,27.590625000000003,296,39,62,783,4361367.56449553
62,64,Chaillot,16,16ème Ardt,"17,1","19,7","16,3","11,5",24 303,34 645,28 427,32 763,27 135,19 089,24 30334 64528 42732 76327 13519 089,9714,1,63,64,27.590625000000003,95,17,64,1501,52072974.52165223
63,63,Porte-Dauphine,16,16ème Ardt,"17,1","19,7","16,3","11,5",24 303,34 645,28 427,32 763,27 135,19 089,24 30334 64528 42732 76327 13519 089,9714,1,62,63,27.590625000000003,446,11,63,652,2743025.107361963
64,79,Père-Lachaise,20,20ème Ardt,"23,1","20,0","14,4","6,5",29 521,40 850,45 270,39 188,28 195,12 790,29 52140 85045 27039 18828 19512 790,32494,1,78,79,22.700000000000003,2781,47,79,432,761890.9513888889
65,78,Saint-Fargeau,20,20ème Ardt,"23,1","20,0","14,4","6,5",29 521,40 850,45 270,39 188,28 195,12 790,29 52140 85045 27039 18828 19512 790,32494,1,77,78,20.703124999999996,2721,20,78,200,849005.09
66,80,Charonne,20,20ème Ardt,"23,1","20,0","14,4","6,5",29 521,40 850,45 270,39 188,28 195,12 790,29 52140 85045 27039 18828 19512 790,32494,1,79,80,20.703125,5553,22,80,415,1267117.881927711
67,77,Belleville,20,20ème Ardt,"23,1","20,0","14,4","6,5",29 521,40 850,45 270,39 188,28 195,12 790,29 52140 85045 27039 18828 19512 790,32494,1,76,77,23.978125,1542,29,77,390,439980.8461538461
68,72,La Chapelle,18,18ème Ardt,"26,5","18,0","12,2","5,8",27 256,45 901,51 653,35 232,23 842,11 348,27 25645 90151 65335 23223 84211 348,31701,1,71,72,20.703125,1498,24,72,176,3315015.653409091
69,69,Grandes-Carrières,18,18ème Ardt,"26,5","18,0","12,2","5,8",27 256,45 901,51 653,35 232,23 842,11 348,27 25645 90151 65335 23223 84211 348,31701,1,68,69,23.084375,1734,55,69,735,1371430.7931972789
70,70,Clignancourt,18,18ème Ardt,"26,5","18,0","12,2","5,8",27 256,45 901,51 653,35 232,23 842,11 348,27 25645 90151 65335 23223 84211 348,31701,1,69,70,23.084375000000005,2560,61,70,708,1279727.663841808
71,71,Goutte-d'Or,18,18ème Ardt,"26,5","18,0","12,2","5,8",27 256,45 901,51 653,35 232,23 842,11 348,27 25645 90151 65335 23223 84211 348,31701,1,70,71,23.978125,3562,17,71,182,960061.8076923077
72,74,Pont-de-Flandre,19,19ème Ardt,"21,7","19,2","13,7","6,5",31 775,40 876,40 560,35 876,25 713,12 214,31 77540 87640 56035 87625 71312 214,27274,1,73,74,20.703125,3318,12,74,243,14321279.399176955
73,76,Combat,19,19ème Ardt,"21,7","19,2","13,7","6,5",31 775,40 876,40 560,35 876,25 713,12 214,31 77540 87640 56035 87625 71312 214,27274,1,75,76,22.700000000000006,1026,26,76,280,1087702.175
74,75,Amérique,19,19ème Ardt,"21,7","19,2","13,7","6,5",31 775,40 876,40 560,35 876,25 713,12 214,31 77540 87640 56035 87625 71312 214,27274,1,74,75,20.703125,4347,15,75,354,4692823.169491526
75,73,Villette,19,19ème Ardt,"21,7","19,2","13,7","6,5",31 775,40 876,40 560,35 876,25 713,12 214,31 77540 87640 56035 87625 71312 214,27274,1,72,73,20.703124999999996,2680,30,73,296,3440797.9662162163
76,13,Saint-Merri,4,4ème Ardt,"21,6","19,3","15,3","7,8",3 195,6 895,6 057,5 433,4 308,2 200,3 1956 8956 0575 4334 3082 200,17838,1,12,13,28.231250000000006,290,16,13,285,2016378.7157894736
77,16,Notre-Dame,4,4ème Ardt,"21,6","19,3","15,3","7,8",3 195,6 895,6 057,5 433,4 308,2 200,3 1956 8956 0575 4334 3082 200,17838,1,15,16,28.231250000000006,25,5,16,82,1089989.524390244
78,14,Saint-Gervais,4,4ème Ardt,"21,6","19,3","15,3","7,8",3 195,6 895,6 057,5 433,4 308,2 200,3 1956 8956 0575 4334 3082 200,17838,1,13,14,27.140625000000004,683,40,14,222,1122918.6486486488
79,15,Arsenal,4,4ème Ardt,"21,6","19,3","15,3","7,8",3 195,6 895,6 057,5 433,4 308,2 200,3 1956 8956 0575 4334 3082 200,17838,1,14,15,28.231250000000006,399,17,15,270,1703270.4555555556
